# Extended version of Table 4.
# Column Descriptions
# 1. R.A. - Right ascension (J2000, deg)
# 2. Dec - Declination (J2000, deg)
# 3. pmra - Proper motion in R. A. (mas/yr)
# 4. pmra_e - Error in pmra (mas/yr)
# 5. pmdec - Proper motion in Dec (mas/yr)
# 6. pmdec_e - Error in pmdec (mas/yr)
# 7. V_R - Measured Radial Velocity (km/s)
# 8. V_R_e - Error in V_R (km/s)
# 9. g - g-band magnitude from PanSTARRS-1 (mag)
# 10. g-i - colour g - i from PanSTARRS-1 (mag)
# 11. Source - Source of detection. Ib17 - Ibata et al. 2017, O09 - Odenkirchen et al. 2009, Is16 - Ishigaki et al. 2019, K22 - this paper.
# R.A.    Dec    pmra   pmra_e pmdec  pmdec_e V_R    V_R_e g     g-i  Source  
  240.342 6.036  -2.892 0.032  -2.182 0.024   -47.35 0.78  16.18 1.16 Ib17    
  237.723 5.027  -3.351 0.121  -3.5   0.101   -50.13 2.5   18.47 0.83 Ib17    
  236.502 4.285  -2.737 0.129  -2.376 0.108   -53.06 2.87  18.66 0.93 Ib17    
  235.844 4.241  -2.843 0.112  -2.021 0.11    -50.22 3.22  18.04 0.87 Ib17    
  236.025 4.193  -2.74  0.098  -2.487 0.09    -48.5  2.16  18.16 0.84 Ib17    
  233.553 3.335  -2.301 0.135  -2.203 0.109   -57.15 0.29  18.5  0.73 O09     
  233.252 2.939  -2.093 0.265  -2.201 0.225   -54.28 3.8   19.36 0.72 Ib17    
  233.735 2.909  -2.765 0.033  -2.441 0.027   -51.05 1.06  16.29 1.14 Ib17    
  232.525 2.524  -2.643 0.08   -2.475 0.072   -54.22 0.85  17.64 0.85 O09/Ib17
  232.34  2.437  -1.069 0.17   -1.777 0.127   -64.04 1.26  18.15 0.81 O09/Ib17
  232.244 2.32   -2.745 0.15   -2.644 0.147   -49.59 1.65  18.49 0.75 Ib17    
  232.031 2.292  -3.058 0.227  -2.484 0.203   -54.0  3.24  19.05 0.71 Ib17    
  231.501 2.028  -2.619 0.36   -2.321 0.288   -54.5  2.51  19.57 0.67 Ib17    
  231.876 2.021  -2.806 0.166  -2.397 0.148   -58.02 1.46  18.73 0.75 Ib17    
  231.434 1.934  -2.886 0.187  -2.744 0.158   -54.83 2.74  18.77 0.73 Ib17    
  231.524 1.92   -2.628 0.22   -2.687 0.196   -53.68 2.91  19.08 0.72 Ib17    
  231.365 1.851  -2.78  0.294  -2.24  0.245   -47.55 3.94  19.41 0.66 Ib17    
  231.1   1.725  -2.382 0.218  -2.653 0.199   -53.37 1.75  18.94 0.7  Ib17    
  230.745 1.632  -2.645 0.079  -2.56  0.073   -55.37 1.73  17.5  0.91 Ib17    
  231.066 1.563  -2.549 0.295  -2.951 0.267   -62.16 0.98  19.58 0.69 Ib17    
  230.965 1.551  -2.617 0.126  -2.727 0.116   -49.89 1.74  18.32 0.79 O09/Ib17
  230.901 1.491  -2.512 0.147  -2.306 0.136   -48.75 2.5   18.47 0.77 Ib17    
