phi1_deg,dist_med,dist_err
-74.635411,8.0023,1.2003
-72.849067,7.9263,1.1889
-71.199291,7.8612,1.1792
-69.759284,7.8088,1.1713
-68.130807,7.7547,1.1632
-66.45338,7.7043,1.1556
-65.041932,7.6658,1.1499
-63.341743,7.6242,1.1436
-61.549007,7.5857,1.1379
-60.10232,7.5588,1.1338
-58.447927,7.5327,1.1299
-56.827677,7.5121,1.1268
-55.203323,7.4956,1.1243
-53.740058,7.4847,1.1227
-52.07058,7.4767,1.1215
-50.670408,7.4731,1.121
-48.998776,7.4736,1.121
-47.361052,7.4787,1.1218
-45.778653,7.488,1.1232
-27.172086,7.9245,1.1887
-25.474837,7.9963,1.1994
-24.063854,8.0604,1.2091
-22.381554,8.1424,1.2214
-18.836665,8.3354,1.2503
-17.137748,8.4382,1.2657
-15.527748,8.5418,1.2813
-13.904414,8.6527,1.2979
-12.273149,8.7707,1.3156
-10.776739,8.885,1.3327
-9.049743,9.0249,1.3537
-7.554637,9.1526,1.3729
-5.777397,9.3126,1.3969
-3.975062,9.4848,1.4227
-2.38802,9.6444,1.4467
-0.671371,9.8266,1.474
0.717447,9.9817,1.4973
