phi1_deg,phi2_med,phi2_err,pm1_med,pm1_err,pm2_med,pm2_err,n_eff,n_stars
-79.300576,-2.212779,0.171831,-9.979860,0.064590,-3.392149,0.126389,17.335418,18
-77.549210,-1.615365,0.099323,-10.453793,0.044072,-3.499227,0.166855,16.562179,17
-75.909478,-1.628045,0.159926,-10.605246,0.118677,-3.530561,0.069824,22.335497,23
-74.635411,-1.519298,0.171949,-10.995677,0.065669,-3.383996,0.211935,18.610076,19
-72.849067,-1.335094,0.146516,-11.067663,0.159461,-3.442450,0.215824,21.362000,22
-71.199291,-1.588507,0.149626,-11.419946,0.097900,-3.582106,0.071794,19.251875,20
-69.759284,-1.010696,0.126139,-11.468215,0.049707,-3.708987,0.099781,28.312136,29
-68.130807,-1.052333,0.199019,-11.840845,0.111675,-3.579469,0.142413,19.266463,20
-66.453380,-0.910904,0.134349,-11.828981,0.061155,-3.466078,0.096670,18.540183,19
-65.041932,-0.492790,0.121704,-12.068971,0.079286,-3.739617,0.113727,20.298709,21
-63.341743,-0.778048,0.090792,-12.560312,0.126892,-3.778345,0.118039,22.301102,23
-61.549007,-0.773143,0.083213,-12.507876,0.054155,-3.696626,0.090994,32.469207,33
-60.102320,-0.617023,0.064729,-12.780482,0.106015,-3.668411,0.095321,30.464548,31
-58.447927,-0.644855,0.055871,-12.853212,0.053286,-3.636918,0.073652,37.708079,38
-56.827677,-0.308376,0.066002,-13.049472,0.044247,-3.452781,0.110762,33.473275,34
-55.203323,-0.355141,0.044490,-13.070675,0.054401,-3.578524,0.066754,31.751265,32
-53.740058,-0.239867,0.038478,-13.165304,0.041505,-3.600194,0.048495,53.410238,54
-52.070580,-0.131672,0.057344,-13.389229,0.032187,-3.454459,0.069639,60.392636,61
-50.670408,-0.138518,0.049552,-13.311489,0.043140,-3.565682,0.065641,60.736349,61
-48.998776,0.043462,0.058254,-13.490525,0.035455,-3.517897,0.046548,68.233804,69
-47.361052,0.066568,0.027264,-13.404650,0.042008,-3.549031,0.083052,57.517306,58
-45.778653,0.068716,0.054196,-13.368463,0.031662,-3.525844,0.074146,52.330720,53
-27.172086,0.052742,0.020932,-12.423568,0.030664,-3.026981,0.030502,31.804499,32
-25.474837,0.085110,0.030415,-12.283304,0.056425,-2.906463,0.030128,41.844382,42
-24.063854,-0.012943,0.047057,-12.086662,0.080841,-2.735588,0.093624,21.665449,22
-22.381554,-0.015176,0.062977,-12.001865,0.063429,-2.893733,0.059251,16.491989,17
-18.836665,-0.038618,0.055139,-11.321112,0.072292,-2.638902,0.066576,20.620984,21
-17.137748,-0.062373,0.031376,-11.224475,0.057806,-2.696867,0.018244,28.805575,29
-15.527748,-0.089187,0.022677,-10.882902,0.053729,-2.531388,0.039514,35.934793,36
-13.904414,-0.132825,0.017615,-10.757494,0.041503,-2.534729,0.038836,50.844444,51
-12.273149,-0.174679,0.029268,-10.401745,0.046945,-2.459001,0.026123,52.500175,53
-10.776739,-0.326802,0.038514,-10.223617,0.091043,-2.448695,0.044605,31.528614,32
-9.049743,-0.399692,0.056126,-9.944320,0.061068,-2.257134,0.063181,29.392987,30
-7.554637,-0.460275,0.023414,-9.840264,0.070217,-2.271649,0.066607,23.510525,24
-5.777397,-0.709381,0.034080,-9.480020,0.061711,-2.312647,0.064366,17.603138,18
-3.975062,-1.022511,0.074629,-9.051812,0.054561,-2.141529,0.123241,14.709624,15
-2.388020,-1.094502,0.031880,-8.972846,0.052858,-2.164122,0.033073,40.301959,41
-0.671371,-1.164861,0.049770,-8.521569,0.039379,-2.110937,0.036644,52.084416,53
0.717447,-1.267571,0.025297,-8.319268,0.042238,-2.119173,0.029132,44.869603,46
2.585171,-1.448579,0.027995,-8.162162,0.041332,-2.135216,0.060586,33.455566,34
4.286019,-1.633421,0.035039,-7.775868,0.104056,-1.995172,0.063570,11.719697,12
5.925372,-1.604206,0.066597,-7.490055,0.077511,-1.910021,0.038642,14.431697,15
7.438519,-1.787265,0.059784,-7.230743,0.100972,-1.825394,0.103145,11.764850,12
9.037821,-1.751867,0.042018,-7.081801,0.199467,-1.750975,0.085799,26.072644,27
