phi1_deg,rv_med,rv_err
-80.000000,-132.452000,5.331000
-70.000000,-171.729000,1.970500
-60.000000,-187.834000,1.090000
-50.000000,-192.695000,1.776500
-40.000000,-194.756000,2.312500
-30.000000,-186.129000,1.468500
-20.000000,-173.044000,3.326000
-10.000000,-157.285000,1.744500
10.000000,-103.520000,5.059850
20.000000,-73.522100,1.536308
30.000000,-40.409100,1.603700
40.000000,-7.850560,2.150337
50.000000,27.874100,1.092650
60.000000,57.210600,2.010908
70.000000,89.255900,2.145508
80.000000,107.572000,2.434500
90.000000,124.595000,1.704000
100.000000,129.611000,2.889500
110.000000,124.883000,2.054500
120.000000,126.328000,6.839580
